name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 108236 f,211,4.72 Earths,9.25,2021
HD 108341 b,160,3.5 Jupiters,9.38,2014
HD 108863 b,537,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 114783 c,69,0.611 Jupiters,7.56,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 115954 b,286,8.29 Jupiters,8.34,2021
HD 116029 b,402,1.4 Jupiters,7.88,2011
HD 116029 c,402,1.27 Jupiters,7.88,2018
HD 117207 b,106,1.926 Jupiters,7.26,2004
HD 11755 b,767,5.63 Jupiters,6.88269,2015
HD 117618 b,123,0.174 Jupiters,7.17,2004
HD 118203 b,301,2.79 Jupiters,8.05,2005
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 114783 c,69,0.611 Jupiters,7.56,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 115954 b,286,8.29 Jupiters,8.34,2021
HD 116029 b,402,1.4 Jupiters,7.88,2011
HD 116029 c,402,1.27 Jupiters,7.88,2018
HD 117207 b,106,1.926 Jupiters,7.26,2004
HD 11755 b,767,5.63 Jupiters,6.88269,2015
HD 117618 b,123,0.174 Jupiters,7.17,2004
HD 118203 b,301,2.79 Jupiters,8.05,2005
HD 11964 b,109,0.622 Jupiters,6.41525,2005
HD 11964 c,109,25 Earths,6.41525,2008
HD 11977 b,222,6.54 Jupiters,4.68,2005
HD 120084 b,336,4.5 Jupiters,5.90686,2013
HD 121504 b,136,1.51 Jupiters,7.54,2003
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 12484 b,158,2.98 Jupiters,8.18,2016
HD 125390 b,501,22.16 Jupiters,8.21,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 129445 b,220,1.6 Jupiters,8.8,2009
HD 130322 b,104,1.15 Jupiters,8.04,1999
HD 131496 b,430,1.8 Jupiters,7.8,2011
HD 131664 b,172,19.12 Jupiters,8.13,2008
HD 13167 b,486,3.31 Jupiters,8.34,2018
HD 13189 b,1624,10.95 Jupiters,7.57,2005
HD 132406 b,231,5.38 Jupiters,8.45,2007
HD 132563 b,343,1.49 Jupiters,8.928001,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 133131 A c,168,0.42 Jupiters,7.66,2016
HD 133131 B b,167,2.5 Jupiters,8.413,2016
HD 134060 b,78,10.1 Earths,6.29,2019
HD 134060 c,78,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.47,1999
HD 134987 c,85,0.82 Jupiters,6.47,2009
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 136352 d,48,10.5 Earths,5.65,2019
HD 136418 b,343,2.14 Jupiters,7.849,2009
HD 136925 b,156,0.84 Jupiters,7.91433,2021
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 13808 b,92,11.2 Earths,8.36,2021
HD 13808 c,92,9.96 Earths,8.36,2021
HD 13908 b,259,0.865 Jupiters,7.52,2013
HD 13908 c,259,5.13 Jupiters,7.52,2013
HD 13931 b,155,2.2 Jupiters,7.61,2009
HD 139357 b,366,9.76 Jupiters,5.97272,2008
HD 1397 b,260,0.415 Jupiters,7.79,2018
HD 14067 b,463,7.8 Jupiters,6.53329,2014
HD 141004 b,39,13.63484 Earths,4.4154,2021
HD 141399 b,121,0.451 Jupiters,7.20856,2014
HD 141399 c,121,1.33 Jupiters,7.20856,2014
HD 141399 d,121,1.18 Jupiters,7.20856,2014
HD 141399 e,121,0.66 Jupiters,7.20856,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,317,3.07 Jupiters,7.46,2011
HD 142415 b,116,1.67 Jupiters,7.33,2003
HD 142 b,85,1.25 Jupiters,5.7,2001
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 141399 b,121,0.451 Jupiters,7.20856,2014
HD 141399 c,121,1.33 Jupiters,7.20856,2014
HD 141399 d,121,1.18 Jupiters,7.20856,2014
HD 141399 e,121,0.66 Jupiters,7.20856,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,317,3.07 Jupiters,7.46,2011
HD 142415 b,116,1.67 Jupiters,7.33,2003
HD 142 b,85,1.25 Jupiters,5.7,2001
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,5.8 Jupiters,6.61935,2021
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148427 b,233,1.3 Jupiters,6.90498,2009
HD 149026 b,247,0.38 Jupiters,8.15,2005
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148427 b,233,1.3 Jupiters,6.90498,2009
HD 149026 b,247,0.38 Jupiters,8.15,2005
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 156411 b,185,0.74 Jupiters,6.67,2009
HD 156668 b,79,4.15 Earths,8.43,2010
HD 156668 c,79,31.4968 Earths,8.43,2021
HD 156846 b,156,10.67 Jupiters,6.5,2007
HD 158038 b,309,1.53 Jupiters,7.47,2011
HD 158259 b,88,2.22 Earths,6.47915,2020
HD 158259 c,88,5.6 Earths,6.47915,2020
HD 158259 d,88,5.41 Earths,6.47915,2020
HD 158259 e,88,6.08 Earths,6.47915,2020
HD 158259 f,88,6.14 Earths,6.47915,2020
HD 156411 b,185,0.74 Jupiters,6.67,2009
HD 156668 b,79,4.15 Earths,8.43,2010
HD 156668 c,79,31.4968 Earths,8.43,2021
HD 156846 b,156,10.67 Jupiters,6.5,2007
HD 158038 b,309,1.53 Jupiters,7.47,2011
HD 158259 b,88,2.22 Earths,6.47915,2020
HD 158259 c,88,5.6 Earths,6.47915,2020
HD 158259 d,88,5.41 Earths,6.47915,2020
HD 158259 e,88,6.08 Earths,6.47915,2020
HD 158259 f,88,6.14 Earths,6.47915,2020
HD 158996 b,925,14 Jupiters,5.72291,2018
HD 159243 b,239,1.13 Jupiters,8.65,2013
HD 159243 c,239,1.9 Jupiters,8.65,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 159868 c,182,0.768 Jupiters,7.24,2012
HD 1605 b,290,0.934 Jupiters,7.52,2015
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.12,2000
HD 160691 c,51,1.814 Jupiters,5.12,2004
HD 160691 d,51,10.5547 Earths,5.12,2004
HD 156411 b,185,0.74 Jupiters,6.67,2009
HD 156668 b,79,4.15 Earths,8.43,2010
HD 156668 c,79,31.4968 Earths,8.43,2021
HD 156846 b,156,10.67 Jupiters,6.5,2007
HD 158038 b,309,1.53 Jupiters,7.47,2011
